customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date,total_spend,customer_value,engagement_score,recency_days,monthly_spend,customer_type
1,37,1,4,85886,14,18,41.2,6,20,0.95,0,Very satisfied with my purchase.,2025-06-22,741.6,4449.6,14.015,282,10.158904109589042,0
2,40,1,5,41041,4,10,31.73,4,29,0.21,0,Good quality and value for money.,2025-10-17,317.3,1269.2,20.536999999999995,165,6.475510204081633,0
3,69,0,0,143869,59,39,65.96,12,26,0.08,0,Excellent customer service.,2025-07-01,2572.4399999999996,30869.279999999995,18.476,273,17.740965517241378,1
4,30,1,8,87261,45,34,51.87,12,7,0.61,0,Good quality and value for money.,2025-08-17,1763.58,21162.96,5.0169999999999995,226,12.162620689655173,1
5,69,0,8,110678,40,38,59.64,13,16,0.49,0,Excellent customer service.,2025-06-21,2266.32,29462.160000000003,11.353,283,14.435159235668792,0
6,28,1,0,90330,2,7,35.63,1,19,0.81,1,The product did not match the description.,2024-10-25,249.41000000000003,249.41000000000003,13.357,522,19.185384615384617,0
7,40,1,5,27302,51,29,38.99,10,16,0.8,0,Love the products and fast shipping.,2025-07-06,1130.71,11307.1,11.26,268,9.344710743801652,1
8,21,1,1,39171,83,15,48.84,3,18,0.91,0,The website is easy to use.,2025-05-29,732.6,2197.8,12.626999999999999,306,19.8,2
9,47,1,5,54766,27,23,35.37,8,13,0.63,0,Excellent customer service.,2025-10-15,813.51,6508.08,9.211,167,8.386701030927835,0
10,42,0,5,47550,46,32,47.16,12,7,0.41,0,Excellent customer service.,2025-09-07,1509.12,18109.44,5.076999999999999,205,10.407724137931034,1
11,62,0,9,103020,51,36,59.03,13,14,0.66,0,Very satisfied with my purchase.,2025-06-06,2125.08,27626.04,9.902,298,13.535541401273885,1
12,28,0,4,91009,9,23,35.26,9,17,0.18,0,"Great experience, will shop again!",2025-05-05,810.9799999999999,7298.819999999999,12.145999999999999,330,7.440183486238531,0
13,32,1,5,29700,44,33,29.87,13,21,0.46,0,"Great experience, will shop again!",2025-09-18,985.71,12814.23,14.862,194,6.278407643312102,1
14,56,1,6,98727,41,41,39.71,15,23,0.35,0,Very satisfied with my purchase.,2025-06-05,1628.1100000000001,24421.65,16.294999999999998,299,8.995082872928178,1
15,31,0,5,76075,73,30,47.96,9,21,0.9,0,Love the products and fast shipping.,2025-06-02,1438.8,12949.199999999999,14.729999999999999,302,13.2,2
16,52,1,4,151138,70,17,67.35,2,12,0.98,1,I will not be shopping here again.,2024-02-16,1144.9499999999998,2289.8999999999996,8.405999999999999,774,45.797999999999995,1
17,66,1,9,96555,32,19,39.75,5,4,0.7,0,Very satisfied with my purchase.,2025-05-07,755.25,3776.25,2.8899999999999997,328,12.381147540983607,0
18,42,1,9,148387,57,27,64.71,6,1,0.6,0,The website is easy to use.,2025-09-10,1747.1699999999998,10483.019999999999,0.82,202,23.933835616438355,1
